,coeff,SE,p-value,adj p-value,aOR,aOR lower,aOR upper
Intercept,-5.456888636851614,0.06435328008637407,0.0,0.0,0.004266810711223176,0.0035000651347416225,0.005201524241563231
C(booster)[T.1],-0.8481823998143125,0.09550963765305541,6.650373670058306e-19,1.5960896808139934e-17,0.42819250785538726,0.31912593411369605,0.5745343896687618
"C(student_group, Treatment('UG-other'))[T.GM]",0.5049175146404064,0.1166886111714521,1.5111931588110842e-05,0.0003626863581146602,1.6568488490511268,1.1568950002410912,2.3728584772429375
"C(student_group, Treatment('UG-other'))[T.LA]",-0.8600814497478775,0.1740107905888253,7.705182623052638e-07,1.849243829532633e-05,0.4231276172764362,0.24765912140046809,0.7229169654225218
"C(student_group, Treatment('UG-other'))[T.UG-athlete]",0.7257289499067711,0.08546701207274739,2.042784653269605e-17,4.902683167847052e-16,2.0662367342086143,1.5882836367271267,2.6880175197111646
"C(student_group, Treatment('UG-other'))[T.UG-greek]",0.7948558591989797,0.05424645862850404,1.2950997298028385e-48,3.1082393515268124e-47,2.214121828508122,1.873635164128487,2.6164834890662667
"C(student_group, Treatment('UG-other'))[T.VM]",-1.8136225610859182,0.2558572555460305,1.356560725746952e-12,3.2557457417926847e-11,0.16306236221212694,0.07418645239680421,0.35841225872318827
"C(vac_type_agg, Treatment('Pfizer'))[T.J&J]",0.10318193427823807,0.10011509433251478,0.30271288799435636,1.0,1.1086931000071412,0.8146626779548809,1.5088458367691697
"C(vac_type_agg, Treatment('Pfizer'))[T.Moderna]",-0.02786803464217167,0.05652391689240783,0.621990791306154,1.0,0.972516696847394,0.8172145356490474,1.157332235770626
"C(vac_type_agg, Treatment('Pfizer'))[T.Others]",-0.6372610756517626,0.1584381665004815,5.7670850144766334e-05,0.001384100403474392,0.5287386177053416,0.3246694451005128,0.8610743329000556
"C(last_dose_month, Treatment(5))[T.1]",0.43853851952763323,0.41518754113425616,0.29085766600146223,1.0,1.5504396246578644,0.43195006019088006,5.565141092113623
"C(last_dose_month, Treatment(5))[T.2]",0.21505063852051137,0.17247152180244701,0.21244288872292416,1.0,1.2399246833278534,0.729182018538438,2.1084080260333997
"C(last_dose_month, Treatment(5))[T.3]",0.40096334821728025,0.0833407286008697,1.5007693627595045e-06,3.601846470622811e-05,1.4932625367629173,1.1553845653039108,1.9299487552987094
"C(last_dose_month, Treatment(5))[T.4]",0.2721007817518372,0.05753374458576765,2.2517103312950723e-06,5.404104795108174e-05,1.312719292794711,1.0996663864475573,1.5670497551919362
"C(last_dose_month, Treatment(5))[T.6]",-0.05440161390874069,0.1039072767997487,0.6005851440541241,1.0,0.947051680987442,0.6878136307329026,1.3039969642727738
"C(last_dose_month, Treatment(5))[T.7]",-0.12370155804834533,0.12904865579106567,0.3377778015500529,1.0,0.8836435178306907,0.5939710570835776,1.3145857147284004
"C(last_dose_month, Treatment(5))[T.8]",-0.1573913211481571,0.14359357527007582,0.2730398803414473,1.0,0.8543696604768926,0.5491492631642267,1.3292333536740175
"C(last_dose_month, Treatment(5))[T.9]",-0.4842861230433285,0.21498792655171114,0.02428311312639941,0.5827947150335858,0.6161368857285794,0.31789380593721034,1.1941870362529023
"C(last_dose_month, Treatment(5))[T.10]",0.025307097641179294,0.42281284463467267,0.9522718082770671,1.0,1.025630040732559,0.27911034418656155,3.7688211933483675
"C(last_dose_month, Treatment(5))[T.11]",-26.664472197298437,0.6508396480673928,0.0,0.0,2.6288563892302996e-12,3.5459008762288055e-13,1.9489788791126465e-11
C(current_gender)[T.M],0.023648906625980303,0.04674741929295304,0.6129360551860605,1.0,1.0239307594699205,0.8867042610119443,1.1823944535826758
"C(week, Treatment(0))[T.1]",1.7190199682326097,0.050623486441168125,9.626641797261492e-253,2.310394031342758e-251,5.579058129963708,4.774056765564075,6.51979880968937
"C(week, Treatment(0))[T.2]",0.9696929620876369,0.15003941483082298,1.0270056719820702e-10,2.4648136127569682e-09,2.6371346347242164,1.661728671411296,4.1850870128849795
"C(week, Treatment(0))[T.3]",1.3547628528995082,0.20844898930121442,8.071946876057267e-11,1.937267250253744e-09,3.8758417030164867,2.040384978770877,7.362409086098568
