,coeff,SE,p-value,adj p-value,aOR,aOR lower,aOR upper
Intercept,-5.442260195340046,0.06287004840679221,0.0,0.0,0.004329686266614353,0.003565171035330009,0.005258144134331469
C(booster)[T.1],-0.17151704628114134,0.12928263064816573,0.18461362310033103,1.0,0.8423859083506119,0.5649430168037856,1.2560806974876664
C(booster)[T.2],-0.8404420536878426,0.09433325762887186,5.136185618368226e-19,1.2840464045920565e-17,0.4315197263744952,0.3224027514994092,0.5775672613968383
"C(student_group, Treatment('UG-other'))[T.GM]",0.500019546692789,0.11354456222023604,1.0640556855871117e-05,0.00026601392139677794,1.6487534980632694,1.1608360431004157,2.341750252788041
"C(student_group, Treatment('UG-other'))[T.LA]",-0.8453567898618376,0.17251548736591577,9.5749318075601e-07,2.393732951890025e-05,0.42940412383811266,0.2519638328431943,0.7318030508129637
"C(student_group, Treatment('UG-other'))[T.UG-athlete]",0.7056389137338083,0.0823920719000241,1.0863717626694635e-17,2.715929406673659e-16,2.0251401615304507,1.5699256654249862,2.6123483195195534
"C(student_group, Treatment('UG-other'))[T.UG-greek]",0.7688460006536314,0.05243497050203725,1.1149645451615183e-48,2.787411362903796e-47,2.1572753224827195,1.8345693381128498,2.5367462108464887
"C(student_group, Treatment('UG-other'))[T.VM]",-1.7882531582021652,0.25484584849398617,2.266836320531685e-12,5.6670908013292124e-11,0.1672520775542092,0.07609398695281708,0.3676145588684207
"C(vac_type_agg, Treatment('Pfizer'))[T.J&J]",0.1027638117614519,0.09690138933616488,0.28891771378224773,1.0,1.1082296273587502,0.8214501770652762,1.4951276915460667
"C(vac_type_agg, Treatment('Pfizer'))[T.Moderna]",-0.02511536058726003,0.05509228955304691,0.6484777390420324,1.0,0.975197406193615,0.8225357488951355,1.1561928856273918
"C(vac_type_agg, Treatment('Pfizer'))[T.Others]",-0.6266361416883788,0.15670550713358825,6.366074160571713e-05,0.001591518540142928,0.5343863810276547,0.32926494037766085,0.8672918650260534
"C(last_dose_month, Treatment(5))[T.1]",0.4436130975969341,0.40423931572003186,0.2724656302981828,1.0,1.5583274483366254,0.44682855881507316,5.434711788966833
"C(last_dose_month, Treatment(5))[T.2]",0.21671736271321818,0.16793724310067518,0.19688878471961047,1.0,1.2419930189884179,0.7391549303759265,2.0869057295355407
"C(last_dose_month, Treatment(5))[T.3]",0.39685370428512273,0.08059164715136839,8.468298026963804e-07,2.117074506740951e-05,1.4871383521679868,1.1592888915901542,1.9077043647467122
"C(last_dose_month, Treatment(5))[T.4]",0.268011402807583,0.0560651570078362,1.749851644998467e-06,4.374629112496168e-05,1.3073620475278114,1.0993917181709287,1.554673821046897
"C(last_dose_month, Treatment(5))[T.6]",-0.05750146153726355,0.10157012638229793,0.5713083161151131,1.0,0.9441205105181064,0.6897840182461958,1.2922357068337105
"C(last_dose_month, Treatment(5))[T.7]",-0.12490218255838471,0.12635208176605778,0.3228956320715325,1.0,0.8825832303959537,0.5972858511223771,1.304154714384082
"C(last_dose_month, Treatment(5))[T.8]",-0.15828606859028055,0.14060755736457056,0.2602800531377203,1.0,0.8536055572992116,0.5527795034841729,1.3181430260338154
"C(last_dose_month, Treatment(5))[T.9]",-0.48030505395101747,0.21211263228945654,0.023550332429750544,0.5887583107437636,0.6185946582760645,0.32117075096837727,1.1914514322798901
"C(last_dose_month, Treatment(5))[T.10]",0.018694608724760663,0.413862598756998,0.9639709683180191,1.0,1.0188704469555911,0.2835868185940728,3.6605967542004176
"C(last_dose_month, Treatment(5))[T.11]",-26.97736871903939,0.649538687401151,0.0,0.0,1.9225499366084375e-12,2.58315637918321e-13,1.4308844360099638e-11
C(current_gender)[T.M],0.02184185312622654,0.04543315142269793,0.6306962932995104,1.0,1.0220821325943963,0.8882010631342255,1.176143475985505
"C(week, Treatment(0))[T.1]",1.684466048844447,0.049713223669510774,1.1595158580087625e-251,2.8987896450219065e-250,5.389572395510342,4.622060674154819,6.2845325179031
"C(week, Treatment(0))[T.2]",0.9628036340431304,0.149512754535148,1.1978190999653872e-10,2.994547749913468e-09,2.619028988607908,1.6499986831058067,4.157162616795074
"C(week, Treatment(0))[T.3]",1.3275196894174355,0.2071272245699668,1.462857395008375e-10,3.6571434875209373e-09,3.7716768464089054,1.9886349499533393,7.153422619908599
