,coeff,SE,p-value,adj p-value,aOR,aOR lower,aOR upper
Intercept,-5.429601226202423,0.06315372195944152,0.0,0.0,0.004384844014974612,0.0036161313828370245,0.0053169686054311185
C(booster)[T.1],-0.8451004562076088,0.09849622904296457,9.484960498155067e-18,2.0866913095941148e-16,0.4295142086749385,0.3179957155567977,0.5801413240132411
"C(student_group, Treatment('UG-other'))[T.GM]",0.5845191878755592,0.11472690683320329,3.489724190541308e-07,7.677393219190878e-06,1.7941281396607693,1.2641060440468923,2.5463811336726807
"C(student_group, Treatment('UG-other'))[T.LA]",-1.1486883248306097,0.2195705814671818,1.6812003277571802e-07,3.6986407210657965e-06,0.31705236647177126,0.16221509850916904,0.61968462867634
"C(student_group, Treatment('UG-other'))[T.UG-athlete]",0.7421130612809385,0.08174011263935745,1.0964372297945286e-19,2.412161905547963e-18,2.1003690371802994,1.6366261674574976,2.695514821933374
"C(student_group, Treatment('UG-other'))[T.UG-greek]",0.7588609635976696,0.05310412742022944,2.5240579071860524e-46,5.552927395809315e-45,2.135842032620913,1.816267741799003,2.511645768586835
"C(student_group, Treatment('UG-other'))[T.VM]",-2.3047962124601478,0.3810986770891471,1.468666456341939e-09,3.231066203952266e-08,0.09977913232578281,0.03118137793924644,0.3192891368394312
"C(vac_type_agg, Treatment('Pfizer'))[T.J&J]",0.0789941188870922,0.09884303910176707,0.4241817131387512,1.0,1.0821979575232226,0.8003699015804181,1.4632639445272315
"C(vac_type_agg, Treatment('Pfizer'))[T.Moderna]",-0.038823636280305676,0.05613037875014268,0.48914529360539716,1.0,0.9619203420369545,0.810473031689553,1.1416675302515418
"C(vac_type_agg, Treatment('Pfizer'))[T.Others]",-0.6339645652220746,0.17382158060115807,0.00026509875335312355,0.005832172573768718,0.5304844861288933,0.3120851028854276,0.901721317107367
"C(last_dose_month, Treatment(5))[T.1]",0.539929366710445,0.3932154397989824,0.16971711391353017,1.0,1.7158856592558145,0.5167532485509385,5.697619906398195
"C(last_dose_month, Treatment(5))[T.2]",0.2408601671497688,0.1681702613749858,0.15207516140699803,1.0,1.2723431075052487,0.7615446793271126,2.1257544398399655
"C(last_dose_month, Treatment(5))[T.3]",0.41930297784206483,0.0807305836513228,2.059831516283196e-07,4.531629335823032e-06,1.5209010843197737,1.1887567020441745,1.9458482162980952
"C(last_dose_month, Treatment(5))[T.4]",0.2594431699102241,0.05685806062203804,5.042849385692725e-06,0.00011094268648523995,1.296208117994775,1.0897067917284002,1.5418418036017163
"C(last_dose_month, Treatment(5))[T.6]",-0.03474110604437613,0.10266225039017182,0.7350603024816231,1.0,0.9658554380265191,0.7060473413465596,1.3212665391335305
"C(last_dose_month, Treatment(5))[T.7]",-0.12408120801387774,0.13096535400878048,0.34341697731580023,1.0,0.8833081062731252,0.5922680214403326,1.3173650819613232
"C(last_dose_month, Treatment(5))[T.8]",-0.24615858532218612,0.15291429661044162,0.10744559452108549,1.0,0.7817982333693932,0.4902386386031575,1.2467570476309815
"C(last_dose_month, Treatment(5))[T.9]",-0.5949928849242206,0.24930917742417574,0.017006539883205038,0.3741438774305108,0.5515664902912443,0.2577150530774382,1.1804727336621177
"C(last_dose_month, Treatment(5))[T.10]",0.09414486057527191,0.4099706622991193,0.8183730427047591,1.0,1.0987188954409053,0.3143927332982106,3.8397300043631573
"C(last_dose_month, Treatment(5))[T.11]",-25.9193869105542,0.6525437935758784,0.0,0.0,5.5380043231061475e-12,7.558049039299275e-13,4.057858281055268e-11
C(current_gender)[T.M],0.004319655061257685,0.04617820333913859,0.9254720633040375,1.0,1.0043289982194112,0.8723023073309311,1.1563384943354709
"C(week, Treatment(0))[T.1]",1.6825050131150832,0.04954847096740134,9.697502110829053e-253,2.1334504643823915e-251,5.379013607940388,4.624091175542706,6.257183583974654
